step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,TL_stopped,TL_accumulated_waiting_time,TL_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
1030.0,788,0,417,1024,1812,0,24017.0,30.478426395939085,3.513536088144041,417,53330.0,0.17892302926958595,417,53330.0
1035.0,781,0,415,1037,1818,0,23990.0,30.717029449423816,3.489343306915395,415,53797.0,0.17411362933483787,415,53797.0
1040.0,773,2,423,1054,1827,0,24210.0,31.31953428201811,3.395285868870724,423,54231.0,0.16584814340851414,423,54231.0
1045.0,776,1,436,1066,1842,0,24519.0,31.596649484536083,3.4511225645201,436,54866.0,0.16677618748522224,436,54866.0
1050.0,780,0,452,1072,1852,0,25211.0,32.32179487179487,3.490941041535321,452,55729.0,0.15967174284858462,452,55729.0
1055.0,793,1,454,1074,1867,0,26044.0,32.84237074401009,3.660252508842597,454,56674.0,0.15995697203103412,454,56674.0
1060.0,806,0,456,1080,1886,0,27444.0,34.049627791563275,3.8951345739150445,456,57765.0,0.17455443170021542,456,57765.0
1065.0,819,1,457,1082,1901,0,29159.0,35.6031746031746,4.2243349910049135,457,58851.0,0.18821094122204737,457,58851.0
1070.0,821,0,457,1091,1912,0,30606.0,37.278928136419005,4.230624535843739,457,61057.0,0.1966570383103755,457,61057.0
1075.0,825,0,447,1091,1916,0,30399.0,36.847272727272724,4.220987588992262,447,61281.0,0.1937174849270263,447,61281.0
1080.0,834,1,454,1092,1926,0,30760.0,36.882494004796165,4.233911865209674,454,62284.0,0.18961605268862888,454,62284.0
1085.0,843,1,466,1096,1939,0,31023.0,36.80071174377224,4.139950882474662,466,62488.0,0.17375671241764507,466,62488.0
1090.0,849,1,474,1104,1953,0,31625.0,37.24970553592462,4.109397394643603,474,62568.0,0.1622512196011347,474,62568.0
1095.0,843,0,458,1121,1964,0,31490.0,37.35468564650059,3.961525342543768,458,61646.0,0.1499348865781402,458,61646.0
1100.0,835,1,443,1136,1971,0,31703.0,37.967664670658685,4.118610789509912,443,61605.0,0.161231179082276,443,61605.0
1105.0,836,0,447,1148,1984,0,32201.0,38.51794258373206,4.228005993572502,447,61674.0,0.1687005008401803,447,61674.0
1110.0,834,2,448,1162,1996,0,32913.0,39.46402877697842,4.26691177200295,448,61556.0,0.16888573394790163,448,61556.0
1115.0,831,2,443,1180,2011,0,33290.0,40.06016847172082,4.302493554259264,443,61698.0,0.17385600796554065,443,61698.0
1120.0,826,0,427,1195,2021,0,32984.0,39.932203389830505,4.079454588283519,427,63351.0,0.16624278814526058,427,63351.0
1125.0,825,0,417,1205,2030,0,30497.0,36.96606060606061,3.9514918268795385,417,62937.0,0.16338505235167103,417,62937.0
