step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,TL_stopped,TL_accumulated_waiting_time,TL_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
720.0,476,0,194,500,976,0,10030.0,21.071428571428573,6.363726559960261,194,19902.0,0.3273941215147673,194,19902.0
725.0,482,0,178,511,993,0,10042.0,20.83402489626556,6.652829678146421,178,19391.0,0.33765893383350876,178,19391.0
730.0,480,1,178,519,999,0,9885.0,20.59375,6.547144644906189,178,20281.0,0.3243981668522061,178,20281.0
735.0,478,0,150,533,1011,0,9224.0,19.297071129707113,6.406639056056162,150,20683.0,0.33481518246930986,150,20683.0
740.0,472,0,137,551,1023,0,9083.0,19.24364406779661,6.315263259431799,137,21199.0,0.34691610584015264,137,21199.0
745.0,475,1,145,560,1035,0,9533.0,20.069473684210525,6.295476858180139,145,21687.0,0.34208418621721226,145,21687.0
750.0,478,0,163,569,1047,0,10260.0,21.464435146443513,6.454872572663816,163,22364.0,0.34365865765300463,163,22364.0
755.0,485,1,186,574,1059,0,11137.0,22.962886597938144,6.468168975579413,186,23197.0,0.32370585824396464,186,23197.0
760.0,492,1,216,578,1070,0,12045.0,24.48170731707317,6.12013452684674,216,23947.0,0.2912841820351518,216,23947.0
765.0,504,2,241,579,1083,0,12645.0,25.089285714285715,5.861172602981801,241,24489.0,0.27287728971631886,241,24489.0
770.0,514,3,256,584,1098,0,13215.0,25.71011673151751,5.565490299631168,256,25751.0,0.2569312868752865,256,25751.0
775.0,522,1,247,595,1117,0,12937.0,24.78352490421456,5.58941627695944,247,25376.0,0.27966130052243643,247,25376.0
780.0,516,1,234,611,1127,0,13082.0,25.352713178294575,5.6503872442085425,234,25569.0,0.2960310052620614,234,25569.0
785.0,522,1,230,620,1142,0,13337.0,25.549808429118773,5.747771449466497,230,25223.0,0.2988472623999284,230,25223.0
790.0,531,1,230,626,1157,0,13439.0,25.30885122410546,5.791552832844068,230,26247.0,0.2975043863855108,230,26247.0
795.0,532,1,208,637,1169,0,12960.0,24.360902255639097,5.6126242408593265,208,27026.0,0.2977783507505903,208,27026.0
800.0,540,0,203,647,1187,0,13096.0,24.251851851851853,5.550327282681703,203,27831.0,0.3012830377443431,203,27831.0
805.0,543,1,199,662,1205,0,13257.0,24.414364640883978,5.711749500517394,199,28581.0,0.32328259917562885,199,28581.0
810.0,548,3,205,671,1219,0,13668.0,24.94160583941606,5.839252567449197,205,29395.0,0.3229827855753942,205,29395.0
815.0,554,3,208,679,1233,0,14416.0,26.021660649819495,5.9666221383248645,208,30393.0,0.32399959090853714,208,30393.0
820.0,565,2,233,682,1247,0,15351.0,27.16991150442478,5.850200506163969,233,31497.0,0.30869566666657583,233,31497.0
825.0,575,0,256,686,1261,0,16095.0,27.991304347826087,5.501683706757618,256,31774.0,0.286519747704787,256,31774.0
830.0,584,2,275,689,1273,0,16788.0,28.746575342465754,5.246728319730121,275,33111.0,0.2664743327579803,275,33111.0
835.0,597,4,273,693,1290,0,16672.0,27.926298157453935,5.12717786286394,273,32590.0,0.2619522213972895,273,32590.0
840.0,605,0,277,703,1308,0,16801.0,27.7702479338843,5.0578506491083415,277,33082.0,0.26319633878890225,277,33082.0
845.0,604,2,283,717,1321,0,17191.0,28.461920529801326,4.946049719881658,283,32565.0,0.2556331504766764,283,32565.0
850.0,613,0,293,722,1335,0,17739.0,28.938009787928223,5.190684250431032,293,32223.0,0.26252914441563124,293,32223.0
855.0,611,0,293,733,1344,0,18355.0,30.04091653027823,5.314859725990991,293,32039.0,0.2652092624143305,293,32039.0
860.0,615,0,291,744,1359,0,18637.0,30.304065040650407,5.141993203391972,291,33112.0,0.2591209851377583,291,33112.0
865.0,620,3,261,754,1374,0,18081.0,29.162903225806453,5.143339036997146,261,33940.0,0.27051623364270405,261,33940.0
870.0,621,2,239,766,1387,0,17804.0,28.66988727858293,5.040022967916439,239,34877.0,0.26855705355666537,239,34877.0
875.0,630,0,225,774,1404,0,18049.0,28.64920634920635,5.116788317310907,225,35619.0,0.2714014742918899,225,35619.0
880.0,634,3,244,779,1413,0,18758.0,29.586750788643535,5.1176242755776675,244,36395.0,0.25517912802617576,244,36395.0
885.0,644,2,253,782,1426,0,19337.0,30.02639751552795,5.025419941318504,253,37586.0,0.2429795469869633,253,37586.0
890.0,657,1,268,784,1441,0,19776.0,30.100456621004565,4.870348868731205,268,37860.0,0.23223879419135715,268,37860.0
895.0,663,0,293,789,1452,0,20405.0,30.776772247360483,4.67347549415296,293,39248.0,0.22193234459202163,293,39248.0
900.0,669,0,290,798,1467,0,20366.0,30.442451420029894,4.590228895235026,290,39175.0,0.22479158304412308,290,39175.0
905.0,666,1,291,812,1478,0,20628.0,30.972972972972972,4.522727018316754,291,39441.0,0.22635948952832727,291,39441.0
910.0,663,0,293,824,1487,0,20970.0,31.6289592760181,4.455315482433537,293,39091.0,0.21885152083322457,293,39091.0
915.0,670,3,304,834,1504,0,21333.0,31.840298507462688,4.24948861668946,304,40471.0,0.20335700984257277,304,40471.0
920.0,670,0,306,847,1517,0,21335.0,31.84328358208955,4.105029297298837,306,41371.0,0.20187347455012783,306,41371.0
925.0,682,1,311,851,1533,0,21531.0,31.570381231671554,4.2303311127448175,311,42574.0,0.20994725388063964,311,42574.0
930.0,683,2,317,864,1547,0,21871.0,32.02196193265007,4.02235649774881,317,44111.0,0.20259396460326148,317,44111.0
935.0,686,3,334,875,1561,0,22329.0,32.54956268221574,3.822061046983079,334,44738.0,0.19416362078259494,334,44738.0
940.0,687,2,347,887,1574,0,22980.0,33.44978165938865,3.6082246756652374,347,46277.0,0.1891496957023237,347,46277.0
945.0,688,0,354,893,1581,0,23302.0,33.86918604651163,3.4669564069189636,354,46495.0,0.18229626141374178,354,46495.0
950.0,696,1,335,896,1592,0,23501.0,33.76580459770115,3.544259782113426,335,47098.0,0.185167690053855,335,47098.0
955.0,706,1,334,898,1604,0,23773.0,33.672804532577906,3.5073365983800953,334,48725.0,0.17797923184783784,334,48725.0
960.0,714,0,319,902,1616,0,23701.0,33.19467787114846,3.489089199592399,319,49629.0,0.1759894290657085,319,49629.0
965.0,719,0,318,913,1632,0,23984.0,33.357440890125176,3.4466326482756062,318,50872.0,0.18005199691011112,318,50872.0
970.0,724,1,322,923,1647,0,24465.0,33.7914364640884,3.5673618098419375,322,51753.0,0.18615404557153614,322,51753.0
